"Step","training-starcoder2-3b-python-text_only - train/sft_loss","training-starcoder2-3b-python-text_only - train/sft_loss__MIN","training-starcoder2-3b-python-text_only - train/sft_loss__MAX","training-starcoder2-3b-python-formal_sft - train/sft_loss","training-starcoder2-3b-python-formal_sft - train/sft_loss__MIN","training-starcoder2-3b-python-formal_sft - train/sft_loss__MAX","training-starcoder2-3b-python - train/iwae_loss","training-starcoder2-3b-python - train/iwae_loss__MIN","training-starcoder2-3b-python - train/iwae_loss__MAX"
"1","4.148553848266602","4.148553848266602","4.148553848266602","12.324644088745117","12.324644088745117","12.324644088745117","5.764448165893555","5.764448165893555","5.764448165893555"
"2","4.066014289855957","4.066014289855957","4.066014289855957","9.63638973236084","9.63638973236084","9.63638973236084","3.371293783187866","3.371293783187866","3.371293783187866"
"3","3.5543770790100098","3.5543770790100098","3.5543770790100098","6.77346658706665","6.77346658706665","6.77346658706665","2.923557996749878","2.923557996749878","2.923557996749878"
"4","3.38607120513916","3.38607120513916","3.38607120513916","8.782989501953125","8.782989501953125","8.782989501953125","2.41129207611084","2.41129207611084","2.41129207611084"
"5","1.725043535232544","1.725043535232544","1.725043535232544","6.84036922454834","6.84036922454834","6.84036922454834","2.1424753665924072","2.1424753665924072","2.1424753665924072"
"6","4.467802047729492","4.467802047729492","4.467802047729492","7.096004009246826","7.096004009246826","7.096004009246826","0.9211822748184204","0.9211822748184204","0.9211822748184204"
"7","2.0318996906280518","2.0318996906280518","2.0318996906280518","6.707296848297119","6.707296848297119","6.707296848297119","1.0563697814941406","1.0563697814941406","1.0563697814941406"
"8","1.7751606702804565","1.7751606702804565","1.7751606702804565","5.579206466674805","5.579206466674805","5.579206466674805","0.9246673583984375","0.9246673583984375","0.9246673583984375"
"9","1.9538909196853638","1.9538909196853638","1.9538909196853638","5.0928521156311035","5.0928521156311035","5.0928521156311035","0.6509637832641602","0.6509637832641602","0.6509637832641602"
"10","1.5247507095336914","1.5247507095336914","1.5247507095336914","5.0069193840026855","5.0069193840026855","5.0069193840026855","0.7879821062088013","0.7879821062088013","0.7879821062088013"
"11","0.8486788868904114","0.8486788868904114","0.8486788868904114","4.5238728523254395","4.5238728523254395","4.5238728523254395","1.0230884552001953","1.0230884552001953","1.0230884552001953"
"12","1.8333922624588013","1.8333922624588013","1.8333922624588013","2.8667492866516113","2.8667492866516113","2.8667492866516113","0.9645695686340332","0.9645695686340332","0.9645695686340332"
"13","1.4950249195098877","1.4950249195098877","1.4950249195098877","3.9928393363952637","3.9928393363952637","3.9928393363952637","1.2447642087936401","1.2447642087936401","1.2447642087936401"
"14","1.0926824808120728","1.0926824808120728","1.0926824808120728","3.5193300247192383","3.5193300247192383","3.5193300247192383","0.9047337770462036","0.9047337770462036","0.9047337770462036"
"15","1.5535063743591309","1.5535063743591309","1.5535063743591309","4.246393203735352","4.246393203735352","4.246393203735352","0.9156917333602905","0.9156917333602905","0.9156917333602905"
"16","1.3342151641845703","1.3342151641845703","1.3342151641845703","3.1209917068481445","3.1209917068481445","3.1209917068481445","1.0768027305603027","1.0768027305603027","1.0768027305603027"
